class_id,treatment_type,product_id,review_author_name,review_date,review_content,review_rating,review_is_verified
insects,Organic,B0BDVCCKKT,bay,"Reviewed in the United States on January 17, 2024","Garden Safe Slug & Snail Bait is a good product. It does help get rid of snails. Only thing... I prefer a better dispenser. It's not as easy to sprinkle granules out of the bag. But, the price is reasonable. I will buy it again.",5.0 out of 5 stars,Verified Purchase
insects,Organic,B0BDVCCKKT,Tom T.,"Reviewed in the United States on September 23, 2023","If you've ever engaged in the timeless battle against slugs and snails invading your garden, then you know it's not just a challenge—it's an epic saga. Enter the Garden Safe Slug & Snail Bait, a true hero in the world of gardening.This remarkable slug bait is nothing short of miraculous. It doesn't just work; it works like a secret agent sent on a covert mission to eliminate the slimy invaders. I use it in the evenings, and within just a few days, it's like a magic spell has been cast over my garden. Those sneaky slugs vanish into thin air, leaving my plants in peace.But what truly sets this product apart is its benevolence. It's not just a weapon against slugs; it's a guardian of harmony in my garden ecosystem. I love that it's safe for pets, ensuring my furry friends can roam freely without any worries. Even the feathered visitors and the squirrel squad in my garden go about their business, unharmed by this remarkable slug bait.In essence, the Garden Safe Slug & Snail Bait is a necessity for anyone who values their garden as a sanctuary of nature. It's not just a product; it's a garden-saving, peace-restoring, slug-vanishing wonder. This is my second bag, and I can confidently say it won't be my last. If you've ever battled the slimy hordes, this is your trusty sidekick. Garden Safe Slug & Snail Bait: protecting gardens, pets, and gardeners, one slug at a time!",5.0 out of 5 stars,Verified Purchase
insects,Organic,B0BDVCCKKT,Ralph Robles,"Reviewed in the United States on September 2, 2023",Does a good job. But have to apply daily.,4.0 out of 5 stars,Verified Purchase
insects,Organic,B0BDVCCKKT,Gabe Edmondson,"Reviewed in the United States on January 3, 2024","It seems to be working great. I was trying to get some seedlings growing outdoors in the past and though things sprouted, one by one the leaves kept disappearing and everything i planted was gone. I couldn't tell what was happening at first, i thought it was some insects or mice eating the leaves. But after trying lots of other measures to protect the plants, i finally considered slugs as a possibility. Well, after sprinkling this stuff around some seedlings, none have disappeared so far, so i suppose it must have been slugs all along and so far this stuff seems to be doing what it needs to do.On an unrelated note, amazon was asking me to rate features of this and one of the features it asks about is ""comfort"" - not sure how to respond to that one, this is supposed to kill slugs and snails, i'm not using it as a pillow or anything, the comfortability of this product is irrelevant to me but i assume it does not generate much comfort for the things that eat it.",5.0 out of 5 stars,Verified Purchase
insects,Organic,B0BDVCCKKT,Nino,"Reviewed in the United States on February 14, 2024",Good seller,5.0 out of 5 stars,Verified Purchase
insects,Organic,B0BDVCCKKT,Sum,"Reviewed in the United States on December 11, 2023","After using this for a few times, the pump stopped working and I’ve had to pour this into a different spray bottle. A little inconvenient but the product itself is nice. Smells good too.",3.0 out of 5 stars,Verified Purchase
insects,Organic,B0BDVCCKKT,Jennifer D,"Reviewed in the United States on January 25, 2024",Tried and true product. Worked great on my spider mites,5.0 out of 5 stars,Verified Purchase
insects,Organic,B0BDVCCKKT,Mary,"Reviewed in the United States on June 12, 2023","I have huge flower gardens and had major problems with snails.  In past years my pets were never attracted to snail bait until my last dog. A few years ago, I dusted the regular snail bait I had used for many years around my garden.  Fortunately I immediately caught my dog laying in the planter licking up the snail bait.  He was rushed to the vet and survived the ordeal (vet said Nugget was the first dog he had ever saved who consumed snail bait).  I stopped using any bait and my flowers were devoured by snails even though I would wear gloves and hand pick hundreds of snails from my plants almost daily.Then I found this wonderful product last year.  My snail population has been reduced dramatically.  I now use it when I first plant or when I see any snails on the plants or around the planters.  It takes only a small sprinkling to kill the snails.  It is easy to see the remains of the dead snails around the plants.  My dog is not attracted to this product and apparently it would not harm him even if he ate it.  Highly recommend!",5.0 out of 5 stars,Verified Purchase
insects,Organic,B0BDVCCKKT,Albert,"Reviewed in the United States on February 11, 2024","I had brought in a potted plant for the winter. It turns out the plant was infested with mealey bugs. This stuff pretty much killed them on contact. I may have to do a few more sprays until the eggs in the soil hatch. But there is plenty left. After I sprayed the plant, the bugs started to fall off the next day.",5.0 out of 5 stars,Verified Purchase
insects,Organic,B0BDVCCKKT,Phillip Passmore,"Reviewed in the United States on February 4, 2024","Product worked great for the bugs. But I used the mist setting, and got some on my soil. It caused my soil to mold.",4.0 out of 5 stars,Verified Purchase
